"Method","Outcomes","Error"
"Cross-sectional ANOVA (Fixed)","Knee
Moments
Int
Ext",1.53574775041314e-07
"STW","Pelvis
Obilquity",0.00971991002359743
"CS","Pelvis
Obilquity",0.0120486384667501
"Nested ANOVA","Pelvis
Obilquity",0.0120486384667514
"Cross-sectional ANOVA (Random)","Pelvis
Obilquity",0.0117097945958914
"Cross-sectional ANOVA (Fixed)","Pelvis
Obilquity",0.0117097945958914
"STW","Pelvis
Rotation",0.0147489537610361
"CS","Pelvis
Rotation",0.0182825572662931
"Nested ANOVA","Pelvis
Rotation",0.0182825572662927
"Cross-sectional ANOVA (Random)","Pelvis
Rotation",0.0169807407796623
"Cross-sectional ANOVA (Fixed)","Pelvis
Rotation",0.0169807407796623
"STW","Pelvis
Tilt",0.010826225255518
"CS","Pelvis
Tilt",0.0134200083896903
"Nested ANOVA","Pelvis
Tilt",0.0134200083896901
"Cross-sectional ANOVA (Random)","Pelvis
Tilt",0.0166091354770604
"Cross-sectional ANOVA (Fixed)","Pelvis
Tilt",0.0166091354770604
"STW","Trunk
Ad
Ab",0.0621564262443774
"CS","Trunk
Ad
Ab",0.0770480700320947
"Nested ANOVA","Trunk
Ad
Ab",0.0770480700320955
"Cross-sectional ANOVA (Random)","Trunk
Ad
Ab",0.0843923733982259
"Cross-sectional ANOVA (Fixed)","Trunk
Ad
Ab",0.0843923733982259
"STW","Trunk
Flexion",0.00805581897326027
"CS","Trunk
Flexion",0.00998585893560313
"Nested ANOVA","Trunk
Flexion",0.00998585893560332
"Cross-sectional ANOVA (Random)","Trunk
Flexion",0.0122944802502136
"Cross-sectional ANOVA (Fixed)","Trunk
Flexion",0.0122944802502136
"STW","Trunk
Int
Ext",0.176636906897282
"CS","Trunk
Int
Ext",0.21895616584141
"Nested ANOVA","Trunk
Int
Ext",0.218956165841415
"Cross-sectional ANOVA (Random)","Trunk
Int
Ext",0.235932968794003
"Cross-sectional ANOVA (Fixed)","Trunk
Int
Ext",0.235932968794003
